 Imunizações - Cobertura - Brasil
Coberturas Vacinais por Imuno e Unidade da Federação
Período:2014
"Imuno";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";"Total"
"072 BCG";110,07;104,59;120,39;103,97;114,80;118,80;103,00;108,16;96,50;107,40;108,15;111,91;108,55;108,03;99,77;101,28;100,85;105,52;113,30;103,46;107,97;107,93;105,10;129,71;111,78;115,49;113,52;107,28
"099 Hepatite B  em crianças até 30 dias";105,84;32,66;98,95;73,20;94,09;91,56;84,28;93,94;89,25;86,15;89,47;91,56;79,29;86,60;125,39;79,02;88,03;89,64;84,23;91,83;76,40;92,38;81,04;106,89;104,25;78,40;126,20;88,54
"061 Rotavírus Humano";103,08;66,43;83,26;86,68;82,24;77,35;91,90;87,76;82,24;97,49;88,24;92,47;97,19;85,96;94,90;86,41;98,57;98,42;93,47;93,85;98,68;99,89;93,79;127,91;97,76;96,28;91,84;93,44
"053 Meningococo C";105,68;67,74;87,91;86,14;83,38;81,94;93,73;88,30;84,53;99,66;91,44;92,23;98,17;93,75;92,52;91,26;99,62;101,42;98,59;97,36;101,35;103,38;97,94;130,44;100,34;97,74;98,06;96,36
"073 Hepatite B";106,10;65,21;90,05;87,42;83,71;78,21;94,40;90,09;82,92;99,59;89,93;93,49;101,80;91,65;94,41;92,41;99,04;101,41;94,87;99,58;99,40;100,38;95,99;129,11;103,23;94,71;94,44;96,42
"080 Penta";105,72;64,83;89,71;86,70;83,20;78,05;93,92;89,15;82,53;98,92;89,42;93,18;98,44;90,23;94,02;91,79;98,75;99,96;94,32;95,46;99,07;98,39;94,81;128,18;101,47;93,88;92,60;94,85
"012 Pneumocócica";103,92;60,90;78,30;81,12;70,33;67,78;90,64;81,40;81,81;98,37;85,67;89,96;94,58;87,82;93,24;87,91;97,91;99,61;88,74;100,63;99,72;100,22;94,39;125,87;95,50;93,13;102,41;93,45
"074 Poliomielite";108,09;75,44;98,86;89,54;84,36;80,66;90,51;93,42;81,86;103,92;95,63;100,40;101,68;93,32;94,25;93,87;96,51;101,25;100,89;95,73;98,76;97,17;95,42;130,10;102,47;97,65;94,34;96,76
"006 Febre Amarela";103,17;58,78;92,46;86,89;70,42;71,06;86,67;88,49;76,49;0,23;0,30;0,53;0,34;0,40;0,10;85,72;85,33;0,44;1,01;19,56;75,36;29,07;55,11;115,39;108,56;91,71;90,51;46,86
"096 Hepatite A";67,33;11,52;44,12;52,93;24,11;38,02;54,73;43,49;52,87;57,84;41,17;42,16;54,97;52,93;60,08;61,83;66,23;82,99;61,25;67,84;61,57;78,23;63,89;76,16;58,67;69,18;82,97;60,13
